Redump Game Name (Region Dupes),Dupe 1,Dupe 2,Dupe 3,Dupe 4,Dupe 5,Dupe 6,Notes
EyeToy - Operation Spy (USA),"SpyToy (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi)",,,,,,
Fatal Frame (USA),"Project Zero (Europe) (En,Fr,De,Es,It)",,,,,,
Fatal Frame II - Crimson Butterfly (USA),"Project Zero II - Crimson Butterfly (Europe) (En,Fr,De,Es,It)",,,,,,
Fatal Frame III - The Tormented (USA),"Project Zero 3 (Europe) (En,Fr,De,Es,It)",,,,,,
"FIFA Soccer 06 (USA) (En,Es)",FIFA 06 (Europe),"FIFA 06 (Europe) (En,Nl,Sv,No,Da,El,Pl,Hu)",,,,,
"FIFA Soccer 07 (USA) (En,Es)","FIFA 07 (Europe) (En,Nl,Sv,No,Da)",,,,,,
"FIFA Soccer 07 (USA) (En,Es)","FIFA 07 (Europe) (En,Nl,Sv,No,Da)","FIFA 07 (Europe, Australia)",,,,,
"FIFA Soccer 08 (USA) (En,Es)","FIFA 08 (Europe) (En,Nl,Sv,No,Da)","FIFA 08 (Europe) (En,Pl,Ru,Cs,Hu)","FIFA 08 (Europe, Australia)",,,,
FIFA Soccer 09 (USA),"FIFA 09 (Europe) (En,Es,It,Nl,Pt)","FIFA 09 (Europe) (En,Pl,Ru,Cs,Hu)","FIFA 09 (Europe) (En,Sv,No,Da)","FIFA 09 (Europe, Australia)",,,
FIFA Soccer 10 (USA),FIFA 10 (Europe),"FIFA 10 (Europe) (En,Es,It,Nl,Pt)","FIFA 10 (Europe) (En,Sv,No,Da)","FIFA 10 (Europe) (En,Pl,Ru,Cs,Hu)",,,
"FIFA Soccer 11 (USA) (En,Fr,Es)","FIFA 11 (Europe) (En,De,Sv,No,Da)","FIFA 11 (Europe) (En,Es,Pt,Pl,Ru)","FIFA 11 (Europe, Australia) (En,Fr,It,Nl)",,,,
"FIFA Soccer 12 (USA, Brazil)","FIFA 12 (Europe) (En,De,Sv,No,Da)","FIFA 12 (Europe) (En,Es,Pt,Pl,Ru)","FIFA 12 (Europe, Australia) (En,Fr,It,Nl)",,,,
"FIFA Soccer 2002 (USA) (En,De,Es,Nl,Sv)","FIFA Football 2002 (Europe) (En,De,Es,Nl,Sv)",,,,,,
"FIFA Soccer 2003 (USA) (En,Es)","FIFA Football 2003 (Europe) (En,Fr,De,Es,It,Nl,Sv)",,,,,,
"FIFA Soccer 2004 (USA) (En,Es)","FIFA Football 2004 (Europe) (En,It,Nl,Sv) (v2.00)","FIFA Football 2004 (Europe) (En,It,Nl,Sv) (v1.00)",,,,,
FIFA Soccer 2005 (USA),FIFA Football 2005 (Europe),"FIFA Football 2005 (Europe) (En,Nl,Sv,No,Da,El)",,,,,
Fisherman's Bass Club (USA),Bass Master Fishing (Europe),,,,,,
Flipnic - Ultimate Pinball (USA),Flipnic (Europe),,,,,,
Ford Bold Moves Street Racing (USA),"Ford Street Racing (Europe) (En,Fr,De,Es,It)",Ford Street Racing XR Edition (Australia),,,,,
Ford Racing - Off Road (USA),"Off Road (Europe) (En,Fr,De,Es,It)",,,,,,
Fugitive Hunter - War on Terror (USA),"America's 10 Most Wanted (UK) (En,Fr,De,Es,It)","America's 10 Most Wanted (Europe) (En,Fr,De,Es,It)",,,,,
Gadget Racers (USA),"Penny Racers (Europe) (En,Fr,De)",,,,,,
Gallop Racer 2003 - A New Breed (USA),Attheraces Presents Gallop Racer (Europe),,,,,,
Gallop Racer 2004 (USA),"Gallop Racer 2 (Europe, Australia)",,,,,,
Genji - Dawn of the Samurai (USA),"Genji (Europe, Australia) (En,Ja,Fr,De,Es,It)",,,,,,
George of the Jungle and the Search for the Secret (USA),"George of the Jungle (Europe) (En,Fr,De,Es,It)",,,,,,
Global Touring Challenge - Africa (USA),"GTC Africa (Europe) (En,Fr,De,Es,It)",,,,,,
Guitar Hero - Smash Hits (USA),"Guitar Hero - Greatest Hits (Europe, Australia) (En,Fr,De,Es,It)",,,,,,
Guitar Hero Encore - Rocks the 80s (USA),"Guitar Hero - Rocks the 80s (Europe, Australia)",,,,,,
Hannspree Ten Kate Honda SBK - Superbike World Championship (USA),"SBK-07 - Superbike World Championship (Europe, Australia) (En,Fr,De,Es,It)",,,,,,
Hard Hitter Tennis (USA),"Centre Court - Hard Hitter (Europe) (En,Fr,De)",,,,,,
Harley-Davidson Motorcycles - Race to the Rally (USA),Harley-Davidson Motor Cycles (Europe),,,,,,
"Harry Potter and the Sorcerer's Stone (USA) (En,Es)","Harry Potter and the Philosopher's Stone (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,Da,Fi)",,,,,,
