"FIFA 2000 - Major League Soccer (USA) (En,De,Es,Nl,Sv)","FIFA 2000 (Europe) (En,De,Es,Nl,Sv) (v1.1)",,,
"FIFA Soccer 2002 (USA) (En,Es)","FIFA Football 2002 (Europe) (En,De,Es,Nl,Sv)",,,
FIFA Soccer 2003 (USA),"FIFA Football 2003 (Europe) (En,Nl,Sv)",,,
"FIFA Soccer 2004 (USA) (En,Es)","FIFA Football 2004 (Europe) (En,Nl,Sv)",,,
"FIFA Soccer 2005 (USA) (En,Es)","FIFA Football 2005 (Europe) (En,Nl)",,,
FIFA Soccer 97 (USA),"FIFA 97 (Europe) (En,Fr,De,Es,It,Sv)",,,
Final Fantasy Origins (USA) (v1.1),Final Fantasy Origins - Final Fantasy (Europe),,,
Final Fantasy Origins (USA) (v1.1),Final Fantasy Origins - Final Fantasy II (Europe),,,
"Final Round, The (USA)",Konami Open Golf (Europe),,,
Fisherman's Bait - A Bass Challenge (USA),Fisherman's Bait - Bass Challenge (Europe),,,
Floating Runner - Quest for the 7 Crystals (USA),Floating Runner (Europe),,,
"Formula 1 Championship Edition (USA) (En,Fr,De,Es,It)","Formula 1 97 (Europe) (En,Fr,De,Es,It) (v1.1)",,,
FOX Sports Golf '99 (USA),Actua Golf 2 (Europe),,,
FoxKids.com - Micro Maniacs Racing (USA),"Micro Maniacs (Europe) (En,Fr,De,Es,It)",,,
Freestyle Boardin' '99 (USA),Phat Air - Extreme Snowboarding (Europe),,,
Gex (USA) (v1.1),Gex 3D - Enter the Gecko (Europe),,,
Gex 3 - Deep Cover Gecko (USA),"Gex - Deep Cover Gecko (Europe) (En,Es,It)",,,
Goal Storm '97 (USA),International Superstar Soccer Pro (Europe) (v1.1),,,
Grand Theft Auto - Mission Pack 1 - London 1969 (USA),"Grand Theft Auto - London 1969 (Europe) (En,Fr,De,It)",,,
Grid Runner (USA),Grid Run (Europe),,,
"Harry Potter and the Sorcerer's Stone (USA) (En,Fr,Es)","Harry Potter and the Philosopher's Stone (Europe) (En,Fr,De)",,,
"Hi-Octane - The Track Fights Back! (USA) (En,Fr,De,Es)","Hi-Octane (Europe) (En,Fr,De,Es)",,,
Hot Shots Golf (USA),"Everybody's Golf (Europe) (En,Fr,De,Es,It)",,,
Hot Shots Golf 2 (USA),Everybody's Golf 2 (Europe),,,
I.Q - Intelligent Qube (USA),"Kurushi (Europe) (En,Fr,De,Es,It)",,,
Independence Day (USA),"Independence Day - The Game (Europe) (En,Fr,De,Es,It,Sv)",,,
International Track & Field 2000 (USA),International Track & Field 2 (Europe),,,
Invasion from Beyond (USA),"B-Movie (Europe) (En,Es,It)",,,
Jarrett & Labonte Stock Car Racing (USA),"TOCA World Touring Cars (Europe) (En,Fr,De)",,,
Jet Moto (USA),Jet Rider (Europe),,,
Jet Moto 2 (USA),Jet Rider 2 (Europe),,,
Kartia - The Word of Fate (USA),"Legend of Kartia (Europe) (En,Fr,De)",,,
Kickboxing (USA),Kickboxing Knockout (Europe),,,
Kileak - The DNA Imperative (USA),Kileak - The Blood (Europe),,,
Knockout Kings (USA),Knockout Kings 99 (Europe),,,
"Land Before Time, The - Great Valley Racing Adventure (USA)","Land Before Time, The - Racing Adventure (Europe) (En,Fr,De,Es,It)",,,
Lethal Enforcers I & II (USA),Lethal Enforcers (Europe),,,
"Looney Tunes - Sheep Raider (USA) (En,Fr,Es,Pt)","Sheep, Dog 'n' Wolf (Europe) (En,Fr,De,Es,It,Nl)",,,
Machine Head (USA),Blam! Machinehead (Europe),,,
Marble Master (USA),"Swing (Europe) (En,Fr,De)",,,
Max Power Racing (Europe),"C3 Racing - Car Constructors Championship (Europe) (En,Fr,De,Es,It)",,,
MediEvil II (USA),"MediEvil 2 (Europe) (En,Fr,De)",,,
Metal Gear Solid - VR Missions (USA),"Metal Gear Solid - Special Missions (Europe) (En,Fr,De,Es,It)",,,
"Mike Tyson Boxing (USA) (En,Fr,Es)","Prince Naseem Boxing (Europe) (En,Fr,De,Es,It)",,,
Monaco Grand Prix (USA),"Monaco Grand Prix Racing Simulation 2 (Europe) (En,Fr,Es,It)",,,
Motor Toon Grand Prix (USA),Motor Toon Grand Prix 2 (Europe),,,
MTV Music Generator (USA),"Music 2000 (Europe) (En,Fr,De,Es,It)",,,
N2O - Nitrous Oxide (USA),"N2O (Europe) (En,Fr,De,Es,It,Pt)",,,
NBA in the Zone '98 (USA) (v1.1),NBA Pro 98 (Europe),,,
NBA in the Zone '99 (USA),NBA Pro 99 (Europe),,,
NBA Shoot Out '97 (USA),Total NBA '97 (Europe),,,
NBA Shoot Out (USA),Total NBA '96 (Europe),,,
NBA ShootOut 98 (USA),Total NBA 98 (Europe),,,
Need for Speed - High Stakes (USA),"Need for Speed - Road Challenge (Europe) (En,Sv)",,,
Need for Speed - Porsche Unleashed (USA),"Need for Speed - Porsche 2000 (Europe) (En,De,Sv)",,,
Need for Speed - V-Rally (USA),"V-Rally - 97 Championship Edition (Europe) (En,Fr,De) (v1.2)",,,
Need for Speed - V-Rally 2 (USA),"V-Rally - Championship Edition 2 (Europe) (En,Fr,De)",,,
NHL Powerplay '96 (USA),NHL Powerplay (Europe),,,
No Fear Downhill Mountain Bike Racing (USA),"No Fear Downhill Mountain Biking (Europe) (En,Fr,De,Es,It,Sv)",,,
Norse by Norsewest - The Return of the Lost Vikings (USA),"Lost Vikings 2 - Norse by Norsewest (Europe) (En,Fr,De)",,,
Olympic Summer Games (USA),"Olympic Games (Europe) (En,Fr,De,Es,It)",,,
Pac-Man World - 20th Anniversary (USA),Pac-Man World 20th Anniversary (Europe),,,
"PaRappa the Rapper (USA) (En,Fr,De,Es,It)","PaRappa the Rapper - The Hip Hop Hero (Europe) (En,Fr,De,Es,It)",,,
Peter Pan in Disney's Return to Never Land (USA),Disney's Peter Pan - Adventures in Never Land (Europe),,,
Pipe Dreams 3D (USA),"Pipe Mania 3D (Europe) (En,Fr,De,Es,It)",,,
Pong - The Next Level (USA),"Pong (Europe) (En,Fr,De,Es,It,Nl)",,,
Popstar Maker (Europe),100% Star (Europe),,,EUR>EUR
Power Serve 3D Tennis (USA),"Power Serve (Europe) (En,Fr,De)",,,
Power Shovel (USA),"Power Diggerz (Europe) (En,Fr,De)",,,
Power Spike - Pro Beach Volleyball (USA),"Beach Volleyball (Europe) (En,Fr,De,Es,It)",,,
Powerslave (USA),"Exhumed (Europe) (En,Fr,De,Es)",,,
Pro-Pinball (USA),Pro Pinball - The Web (Europe),,,
Professional Underground League of Pain (USA),Riot (Europe),,,
Puzzle Star Sweep (USA),StarSweep (Europe),,,
R4 - Ridge Racer Type 4 (USA),"Ridge Racer Type 4 (Europe) (En,Fr,De,Es,It)",,,
"Racing (USA) (En,Fr,Es)",Pro Racer (Europe) (v1.1),,,
Rat Attack! (USA),"Rat Attack (Europe) (En,Fr,De,Es,It,Nl)",,,
RayCrisis - Series Termination (USA),RayCrisis (Europe),,,
Razor Freestyle Scooter (USA),Freestyle Scooter (Europe),,,
Razor Racing (USA),Scooter Racing (Europe),,,
Re-Loaded - The Hardcore Sequel (USA),"Re-Loaded (Europe) (En,Fr,De)",,,
Red Asphalt (USA),Rock & Roll Racing 2 - Red Asphalt (Europe),,,
Risk - The Game of Global Domination (USA),"Risk (Europe) (En,Fr,De,Es)",,,
Roll Away (USA),Kula World (Europe),,,
Rosco McQueen Firefighter Extreme (USA),"Rosco McQueen (Europe) (En,Fr,De,Es,It)",,,
Rush Hour (USA),Speedster (Europe),,,
Samurai Shodown III - Blades of Blood (USA),Samurai Shodown III (Europe),,,
Sentient (USA),Sentient - Explore the Infinite (Europe),,,
Shipwreckers! (USA),Overboard! (Europe),,,
Sim Theme Park (USA),"Theme Park World (Europe) (En,Fr,De,Es,It,Nl,Sv)",,,
"Smurf Racer! (USA) (En,Fr,Es)","3, 2, 1, Smurf! My First Racing Game (Europe) (En,Fr,De,Es,It,Nl)",,,
Snowboarding (USA),Snowboard Racer (Europe),,,
Sorcerer's Maze (USA),Prism Land Story (Europe),,,
Soul of the Samurai (USA),"Ronin Blade (Europe) (En,Fr,De)",,,
Speed Punks (USA),Speed Freaks (Europe),,,
Spyro 2 - Ripto's Rage! (USA),"Spyro 2 - Gateway to Glimmer (Europe) (En,Fr,De,Es,It)",,,
Star Fighter (USA),"StarFighter 3000 (Europe) (En,Fr,De,Es,It)",,,
Starfighter Sanvein (USA),Sanvein (Europe),,,
Street Sk8er (USA),"Street Skater (Europe) (En,Fr,De)",,,
Street Sk8er 2 (USA),"Street Skater 2 (Europe) (En,Fr,De)",,,
Strike Point (USA),"Strikepoint - The Hex Missions (Europe) (En,Fr,De,Es,It)",,,
Striker Pro 2000 (USA),"UEFA Striker (Europe) (En,Fr,De,Es,It,Nl)",,,
Strikers 1945 (USA),Strikers 1945 II (Europe),,,
T.R.A.G. - Mission of Mercy (USA),"Hard Edge (Europe) (En,Fr,De)",,,
Team Losi RC Racer (USA),"Buggy (Europe) (En,Fr,De,Es,It,Pt)",,,
Tecmo's Deception - Invitation to Darkness (USA),"Devil's Deception (Europe) (En,Fr,De)",,,
Tennis (USA),All Star Tennis (Europe),,,
"Test Drive Le Mans (USA) (En,Fr,Es)","Le Mans 24 Hours (Europe) (En,Fr,De,Es,It,Pt)",,,
Test Drive Off-Road 2 (USA),"Test Drive 4x4 (Europe) (En,Fr,De)",,,
Test Drive Off-Road 3 (USA),"4x4 World Trophy (Europe) (En,Fr,De,Es,It)",,,
This Is Football (Europe),This Is Soccer (Australia),,,
This Is Football 2 (Europe),This Is Soccer 2 (Australia),,,
Thunder Truck Rally (USA),Monster Trucks (Europe),,,
Thunderstrike 2 (USA),"Firestorm - Thunderhawk 2 (Europe) (En,Fr)",,,
Tiger Woods 99 PGA Tour Golf (USA) (v1.1),Tiger Woods 99 USA Tour Golf (Australia),,,
Tiger Woods PGA Tour 2000 (USA),Tiger Woods USA Tour 2000 (Australia),,,
Tiger Woods PGA Tour Golf (USA),Tiger Woods USA Tour 2001 (Australia),,,
Tiny Toon Adventures - The Great Beanstalk (USA),"Tiny Toon Adventures - Buster and the Beanstalk (Europe) (En,Es,Pt)",,,
TNN Motor Sports HardCore 4X4 (USA),"Hardcore 4x4 (Europe) (En,Fr,De)",,,
"TOCA 2 Touring Car Challenge (USA) (En,Fr,Es)","TOCA 2 Touring Cars (Europe) (En,Fr,De) (v1.1)",,,
"TOCA Championship Racing (USA) (En,Es)","TOCA Touring Car Championship (Europe) (En,Fr,De,Es,It) (v1.1)",,,
Tomba! (USA),"Tombi! (Europe) (En,Fr,De,It,Nl)",,,
Tomba! 2 - The Evil Swine Return (USA),Tombi! 2 (Europe),,,
Tony Hawk's Pro Skater (USA),Tony Hawk's Skateboarding (Europe),,,
Trap Gunner (USA),"Trap Runner (Europe) (En,Fr,De)",,,
Triple Play 2000 (USA),Triple Play Baseball 2000 (Europe),,,
Turbo Prop Racing (USA),"Rapid Racer (Europe) (En,Fr,De,Es,It)",,,
Twisted Metal 2 (USA),Twisted Metal - World Tour (Europe),,,
Ultimate 8 Ball (USA),Pool Shark (Europe),,,
Vegas Games 2000 (USA),"Midnight in Vegas (Europe) (En,Fr,De) (v1.1)",,,
"Viva Soccer (USA) (En,Fr,De,Es,It,Pt)","Viva Football (Europe) (En,Fr,De,Es,It,Pt)",,,
"VR Golf '97 (USA) (En,Fr)","Actua Golf (Europe) (En,Fr,De)",,,
VR Soccer '96 (USA),"Actua Soccer (Europe) (En,Fr) (v1.1)",,,
Walt Disney's The Jungle Book - Rhythm n' Groove (USA),Walt Disney's The Jungle Book - Groove Party (Europe),,,
WipEout 3 (USA),"Wip3out (Europe) (En,Fr,De,Es,It)",,,
Wipeout XL (USA),WipEout 2097 (Europe),,,
Wu-Tang - Shaolin Style (USA),Wu-Tang - Taste the Pain (Europe),,,
X-COM - UFO Defense (USA),"X-COM - Enemy Unknown (Europe) (En,Fr,De,Es,It)",,,
